condition,series,probe_probability,seed,detection_latency,recovery_latency,recovery_latency_censored,recovery_failed,off_threshold,on_threshold,false_active_fraction,false_passive_fraction
post_initial_probe_0.03,vigor,0.03,751026,82.0,58.0,58.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751027,90.0,71.0,71.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751028,41.0,54.0,54.0,0,0.25,0.75,,
post_initial_probe_0.03,vigor,0.03,751029,81.0,74.0,74.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751000,53.0,56.0,56.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751001,105.0,142.0,142.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751002,60.0,53.0,53.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751003,46.0,45.0,45.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751004,89.0,71.0,71.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751005,44.0,54.0,54.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751006,151.0,72.0,72.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751007,56.0,108.0,108.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751008,51.0,38.0,38.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751009,68.0,146.0,146.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751010,122.0,57.0,57.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751011,155.0,38.0,38.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751012,91.0,76.0,76.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751013,79.0,63.0,63.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751014,104.0,29.0,29.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751015,24.0,30.0,30.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751016,61.0,62.0,62.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751017,62.0,35.0,35.0,0,0.25,0.75,,
post_initial_probe_0.05,vigor,0.05,751018,50.0,27.0,27.0,0,0.25,0.75,,
